Category,Question,Image url,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Correct Answer,Correct Letter,Claude-3.5-Sonnet,GPT-4o,Gemini-2.0-Flash
Preventive medicine,"The following figure describes the survival function of the disease-free progression variable (Progression-Free Survival, PFS) by means of the Kaplanmeier method of two groups of patients. Group A: Patients treated with the best support treatment (Best Suportive Care, BSC). Group B: Patients who in addition to BSC receive Panitumumab. Complementary data to the figure: Patients with disease progression: Group A = 184/232 (79%), Group B = 161/231 (70%). Percentage of censures: Group A = 24/232 (10%), Group B = 38/231 (16%). Log-Rank test P <0.0001. Hazard Ratio 95% C1: 0.54 [0.44-0.66]. Which of the following statements is correct:",https://compitoinclasse.org/simulatori/IMGmir/724-dom.jpg,The gain in terms of median time until the progression in Group B. does not exceed two weeks in relation to Group A.,"To interpret the results of these two survival curves, the evaluation and contrast of the percentages of progress is necessary and 79% in group A versus 70% in Group B.",The medium -sized ratio until the progression of the two treatment groups is 0.54.,The Log-Rank test evaluates the average difference in monitoring time.,"The results of the Log-Rank test and the estimate of the Hazard Ratio (95%confidence interval, 95%CI) are not compatible since the first indicates that the differences are significant while the second they are not.",The gain in terms of median time until the progression in Group B. does not exceed two weeks in relation to Group A.,A,A,A,A
Preventive medicine,Point to what the image corresponds:,https://compitoinclasse.org/simulatori/IMGmir/18-dom.jpg,It is a graph to evaluate the publication bias.,It is a graph to quantify the curtosis of a normal distribution.,It is a graph to quantify the error type I.,It is a graph to evaluate bioequivalence.,,It is a graph to evaluate the publication bias.,A,A,A,A
Preventive medicine,"According to the results of the clinical trial included in the image linked to the question, which of the following conclusions is true?",https://compitoinclasse.org/simulatori/IMGmir/1173-dom.jpg,"Mirgliptin significantly reduces the annual rate of cardiovascular events compared to metformin, with a hazard ratio below 1 and a significant P of 0.01.",The study is not conclusive because the lower limit of the 95% confidence interval of the Hazard Ratio cannot rule out that the difference in favor of Mirgliptin is less than 30% in relative terms.,Mirgliptin's non -inferiority is demonstrated because the superiority value is not significant.,Mirgliptin is not less than metformin according to the preferred conditions in the study protocol.,,Mirgliptin is not less than metformin according to the preferred conditions in the study protocol.,D,D,D,D
Preventive medicine,"A clinical trial, published in New England Journal of Medicine, studied the effect of administering a subcutaneous anticoagulant treatment with low molecular weight heparin with respect to a placebo in patients with chronic anticoagulant treatment that were programmed for surgical intervention, to that oral anticoagulant was interrupted from a few days before surgery until postoperative 24 hours. Both heparin and placebo were administered subcutaneously from 3 days before and up to 24 hours before the intervention, and subsequently, from days 5 to 10 postoperative. The main analysis was to contrast if the placebo treatment (no bridging) was not lower than heparin (bridging), considering a margin of non -inferiority of 1% for the difference in the appearance of arterial thromboembolism. Considering the data in the attached table, which of the following statements is incorrect?",https://compitoinclasse.org/simulatori/IMGmir/261-dom.jpg,A significantly lower frequency of arterial thromboembolism was observed in the group that received bridge anticoagulant treatment.,There were no significant differences in mortality between the two groups.,The bridge administration with low molecular weight heparin was associated with a greater frequency of major and minor bleeding.,"It could be concluded that placebo treatment is not inferior in terms of the frequency of arterial thromboembolism that the use of low molecular weight heparins, discarding differences greater than 1%.",,A significantly lower frequency of arterial thromboembolism was observed in the group that received bridge anticoagulant treatment.,A,A,A,A
Digestive and General Surgery,"75-year-old male with intermittent abdominal pain, dyspepsia and weight loss. Abdominal TC is performed with contrast of which an image is shown. In addition to the casual observation of a left renal cyst, which of the following findings is ?:",https://compitoinclasse.org/simulatori/IMGmir/2201-dom.jpg,Pancreatic tail tumor with calcifications and tumor invasion of splenic artery,"Diffuse pancreatic calcifications in body and pancreatic tail, indicative of acute pancreatitis.",Pancreatic head tumor with calcifications and tumor invasion of splenic artery,"Diffuse pancreatic calcifications in body and pancreatic tail, indicative of chronic pancreatitis",,"Diffuse pancreatic calcifications in body and pancreatic tail, indicative of chronic pancreatitis",D,B,B,B
Digestive and General Surgery,"54-year-old patient who comes to perform an abdominal ultrasound as a control of a Crohn disease. He has never presented bile cramps and has no other relevant comorbidity. The image shows the findings of the ultrasound (left and right -right with IV contrast). Of the following, indicate the correct statement:",https://compitoinclasse.org/simulatori/IMGmir/2403-dom.jpg,"Although it has never had symptoms of biliary origin, cholecystectomy is indicated as prevention of gallbladder cancer.","Since it is asymptomatic and has no increased risk of gallbladder cancer, cholecystectomy is not recommended and it is not necessary to follow up for this reason.",The image is not conclusive enough to make a therapeutic decision. It would be necessary to expand the study with RM and/or PET/TC.,"Cholecystectomy is not indicated for being asymptomatic, but periodic monitoring.",,"Although it has never had symptoms of biliary origin, cholecystectomy is indicated as prevention of gallbladder cancer.",A,A,A,A
Digestive and General Surgery,"In the case described above and regarding pharmacological treatment, what is the correct statement.",https://compitoinclasse.org/simulatori/IMGmir/467-dom.jpg,The pharmacological treatment is not necessary since the bleeding lesion has been identified.,The ideal treatment for this patient is somatostatine perfusion since it is a hepatopathic patient.,The use of high dose omeprazole reduces bleeding recurrence.,Ranitidine is the drug of choice to avoid pharmacological toxicity as it is a patient with chronic liver disease.,The eradication of Helicobacter pylori is the first measure to be taken.,The use of high dose omeprazole reduces bleeding recurrence.,C,C,C,C
Digestive and General Surgery,"72-year-old man with a diagnosis of oral cavity carcinoma intervened three months ago with complete resection, in treatment with chemotherapy, bearer of prophylactic percutaneous endoscotomy, which goes to emergency for pain and abdominal distension of three days of evolution, oral intolerance and absence of deposits. The abdominopélvica TC is performed with intravenous contrast shown in the image. Which of the following is the most likely diagnosis?:",https://compitoinclasse.org/simulatori/IMGmir/1989-dom.jpg,Gastric obstruction by anthropylic neoplasia,Emphysematous gastritis,Diabetic gastroparesia,Peptic ulcer with contained drilling signs,,Gastric obstruction by anthropylic neoplasia,A,A,A,A
Digestive and General Surgery,"65-year-old woman who consults for intermittent colic pain in the left iliac fossa, alternation in diarrhea/constipation and abdominal distension with a flatulence of 6 months of evolution. A colonoscopy is performed, with the following finding in Sigma. What is the most appropriate attitude in the consultation?",https://compitoinclasse.org/simulatori/IMGmir/1392-dom.jpg,Perform a staging study previously to indicate surgical resection.,Recommend a colonoscopy in 3 years and continue the etiological study of its symptoms.,Recommend a soluble fiber diet and several monthly raffle cycles.,Start treatment with corticosteroids if diarrhea is serious.,,Recommend a soluble fiber diet and several monthly raffle cycles.,C,C,C,C
Digestive and General Surgery,"47-year-old male with no history of interest who goes to emergency for fever of up to 39ºC with chills and sweating, a week of evolution, accompanied by epigastric pain and general discomfort. TC ABDOMINOPELVICA is performed with intravenous contrast shown in the image. Which of the following diagnoses is most likely?:",https://compitoinclasse.org/simulatori/IMGmir/1988-dom.jpg,Liver abscess,Hepatic Hemangioma,Hepatocarcinoma,Focal nodular hyperplasia with necrosis inside,,Liver abscess,A,D,D,D
