Category,Question,Image url,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Correct Answer,Correct Letter,Claude-3.5-Sonnet,GPT-4o,Gemini-2.0-Flash
Medicina preventiva,"La figura seguente descrive la funzione di sopravvivenza della variabile di progressione priva di malattie (sopravvivenza libera da progressione, PFS) per mezzo del metodo Kaplanmeier di due gruppi di pazienti. Gruppo A: pazienti trattati con il miglior trattamento di supporto (miglior cure sovraportive, BSC). Gruppo B: pazienti che oltre a BSC ricevono panitumumab. Dati complementari alla figura: pazienti con progressione della malattia: gruppo A = 184/232 (79%), gruppo B = 161/231 (70%). Percentuale di censure: gruppo A = 24/232 (10%), gruppo B = 38/231 (16%). Test log-rank p <0,0001. HABARD RAPORO 95% C1: 0,54 [0,44-0,66]. Quale delle seguenti affermazioni è corretta:",https://compitoinclasse.org/simulatori/IMGmir/724-dom.jpg,Il guadagno in termini di tempo mediano fino alla progressione nel gruppo B. non supera le due settimane in relazione al gruppo A.,"Per interpretare i risultati di queste due curve di sopravvivenza, la valutazione e il contrasto delle percentuali di progresso sono necessarie e il 79% nel gruppo A contro il 70% nel gruppo B.","Il rapporto di media dimensione fino alla progressione dei due gruppi di trattamento è 0,54.",Il test log-rank valuta la differenza media nel tempo di monitoraggio.,"I risultati del test log-rank e la stima del rapporto di pericolo (intervallo di confidenza al 95%, IC al 95%) non sono compatibili poiché il primo indica che le differenze sono significative mentre il secondo non lo sono.",Il guadagno in termini di tempo mediano fino alla progressione nel gruppo B. non supera le due settimane in relazione al gruppo A.,A,A,A,A
Medicina preventiva,Indica ciò che l'immagine corrisponde:,https://compitoinclasse.org/simulatori/IMGmir/18-dom.jpg,È un grafico per valutare la distorsione della pubblicazione.,È un grafico per quantificare la curtosi di una distribuzione normale.,È un grafico per quantificare il tipo di errore I.,È un grafico per valutare la bioequivalenza.,,È un grafico per valutare la distorsione della pubblicazione.,A,A,A,A
Medicina preventiva,"Secondo i risultati dello studio clinico incluso nell'immagine collegata alla domanda, quale delle seguenti conclusioni è vera?",https://compitoinclasse.org/simulatori/IMGmir/1173-dom.jpg,"MirGliptin riduce significativamente il tasso annuale degli eventi cardiovascolari rispetto alla metformina, con un rapporto di pericolo inferiore a 1 e una P significativa di 0,01.",Lo studio non è conclusivo perché il limite inferiore dell'intervallo di confidenza del 95% del rapporto di rischio non può escludere che la differenza a favore di MirGliptin è inferiore al 30% in termini relativi.,La non inferiorità di Mirgliptin è dimostrata perché il valore di superiorità non è significativo.,MirGliptin non è inferiore alla metformina in base alle condizioni preferite nel protocollo di studio.,,MirGliptin non è inferiore alla metformina in base alle condizioni preferite nel protocollo di studio.,D,D,D,D
Medicina preventiva,"Uno studio clinico, pubblicato sul New England Journal of Medicine, ha studiato l'effetto della somministrazione di un trattamento anticoagulante sottocutaneo con eparina a basso peso molecolare rispetto a un placebo in pazienti con trattamento anticoagulante cronico che sono stati programmati per l'intervento chirurgico, a quell'anticoagulante orale. Da pochi giorni prima dell'intervento fino a 24 ore postoperatorie. Sia l'eparina che il placebo sono stati somministrati sottocutaneamente da 3 giorni prima e fino a 24 ore prima dell'intervento e, successivamente, dai giorni 5 a 10 postoperatori. L'analisi principale era contrastare se il trattamento con placebo (nessun ponte) non era inferiore all'eparina (ponte), considerando un margine di non -inferiorità dell'1% per la differenza nella comparsa del tromboembolia arteriosa. Considerando i dati nella tabella allegata, quale delle seguenti affermazioni non è corretta?",https://compitoinclasse.org/simulatori/IMGmir/261-dom.jpg,Nel gruppo è stata osservata una frequenza significativamente più bassa di tromboembolia arteriosa che ha ricevuto un trattamento anticoagulante a ponte.,Non ci sono state differenze significative nella mortalità tra i due gruppi.,La somministrazione del ponte con eparina a basso peso molecolare era associata a una maggiore frequenza di sanguinamento maggiore e minore.,"Si potrebbe concludere che il trattamento con placebo non è inferiore in termini di frequenza del tromboembolismo arterioso che l'uso di eparine a basso peso molecolare, scartando differenze superiori all'1%.",,Nel gruppo è stata osservata una frequenza significativamente più bassa di tromboembolia arteriosa che ha ricevuto un trattamento anticoagulante a ponte.,A,A,A,A
Chirurgia digestiva e generale,"Maschio di 75 anni con dolore addominale intermittente, dispepsia e perdita di peso. Il TC addominale viene eseguito con il contrasto di cui viene mostrata un'immagine. Oltre all'osservazione casuale di una cisti renale sinistra, quale dei seguenti risultati è?:",https://compitoinclasse.org/simulatori/IMGmir/2201-dom.jpg,Tumore della coda pancreatica con calcificazioni e invasione del tumore dell'arteria splenica,"Calcificazioni pancreatiche diffuse nella coda del corpo e del pancreas, indicativa di pancreatite acuta.",Tumore al testa del pancreas con calcificazioni e invasione del tumore dell'arteria splenica,"Calcificazioni pancreatiche diffuse nella coda del corpo e del pancreas, indicativa di pancreatite cronica",,"Calcificazioni pancreatiche diffuse nella coda del corpo e del pancreas, indicativa di pancreatite cronica",D,B,B,B
Chirurgia digestiva e generale,"Paziente di 54 anni che viene a eseguire un'ecografia addominale come controllo di una malattia di Crohn. Non ha mai presentato crampi biliari e non ha altra comorbidità pertinente. L'immagine mostra i risultati dell'ecografia (sinistra e destra con contrasto IV). Di quanto segue, indica la dichiarazione corretta:",https://compitoinclasse.org/simulatori/IMGmir/2403-dom.jpg,"Sebbene non abbia mai avuto sintomi di origine biliare, la colecistectomia è indicata come prevenzione del cancro alla cistifellea.","Poiché è asintomatico e non ha un aumento del rischio di cancro alla cistifellea, la colecistectomia non è raccomandata e non è necessario seguire per questo motivo.",L'immagine non è abbastanza conclusiva da prendere una decisione terapeutica. Sarebbe necessario espandere lo studio con RM e/o PET/TC.,"La colecistectomia non è indicata per essere asintomatica, ma monitoraggio periodico.",,"Sebbene non abbia mai avuto sintomi di origine biliare, la colecistectomia è indicata come prevenzione del cancro alla cistifellea.",A,A,A,A
Chirurgia digestiva e generale,"Nel caso sopra descritto e per quanto riguarda il trattamento farmacologico, qual è l'affermazione corretta.",https://compitoinclasse.org/simulatori/IMGmir/467-dom.jpg,Il trattamento farmacologico non è necessario poiché è stata identificata la lesione sanguinante.,Il trattamento ideale per questo paziente è la perfusione somatostatina poiché è un paziente epatopatico.,L'uso di omeprazolo ad alta dose riduce la ricorrenza sanguinante.,La ranitidina è il farmaco preferito per evitare la tossicità farmacologica in quanto è un paziente con malattia epatica cronica.,L'eradicazione di Helicobacter pylori è la prima misura da prendere.,L'uso di omeprazolo ad alta dose riduce la ricorrenza sanguinante.,C,B,C,C
Chirurgia digestiva e generale,"L'uomo di 72 anni con diagnosi di carcinoma della cavità orale è intervenuto tre mesi fa con resezione completa, in trattamento con chemioterapia, portatore di endoscotomia percutanea profilattica, che va all'emergenza per il dolore e la distensione addominale di tre giorni di evoluzione, intolleranza orale e Assenza di depositi. L'addominopélvica TC viene eseguito con contrasto endovenoso mostrato nell'immagine. Quale delle seguenti è la diagnosi più probabile?:",https://compitoinclasse.org/simulatori/IMGmir/1989-dom.jpg,Ostruzione gastrica mediante neoplasia antropilica,Gastrite enfisematosa,Gastroparesia diabetica,Ulcera peptica con segnali di perforazione contenuti,,Ostruzione gastrica mediante neoplasia antropilica,A,A,A,A
Chirurgia digestiva e generale,"Donna di 65 anni che consulta il dolore colico intermittente nella fossa iliaca sinistra, alternanza in diarrea/costipazione e distensione addominale con una flatulenza di 6 mesi di evoluzione. Viene eseguita una colonscopia, con la seguente scoperta a Sigma. Qual è l'atteggiamento più appropriato nella consultazione?",https://compitoinclasse.org/simulatori/IMGmir/1392-dom.jpg,Eseguire uno studio di stadiazione in precedenza per indicare la resezione chirurgica.,Raccomandare una colonscopia in 3 anni e continuare lo studio eziologico dei suoi sintomi.,Raccomandare una dieta in fibra solubile e diversi cicli mensili della lotteria.,Inizia il trattamento con corticosteroidi se la diarrea è grave.,,Raccomandare una dieta in fibra solubile e diversi cicli mensili della lotteria.,C,B,C,C
Chirurgia digestiva e generale,"Maschio di 47 anni senza storia di interesse che va in emergenza per la febbre fino a 39 ° C con brividi e sudorazione, una settimana di evoluzione, accompagnata da dolore epigastrico e disagio generale. TC Addominopelvica viene eseguito con il contrasto endovenoso mostrato nell'immagine. Quale delle seguenti diagnosi è molto probabilmente?:",https://compitoinclasse.org/simulatori/IMGmir/1988-dom.jpg,Ascesso epatico,Emangioma epatico,Epatocarcinoma,Iperplasia nodulare focale con necrosi all'interno,,Ascesso epatico,A,D,D,D
Chirurgia digestiva e generale,"Donna 36enne senza una storia di interesse che va alle emergenze per inconvenienti retroetali con la deglutizione, senza clinica infettiva o clinica. Si riferisce a una foto di anni di evoluzione di episodi intermittenti di detenzione alimentare a livello retroesteriale dopo l'assunzione di solidi e liquidi. È accompagnato da progressiva perdita di peso. L'analisi del sangue è normale. Sulla radiografia del torace, si osserva l'ampliamento mediastinale, quindi il TC toracico con contrasto endovenoso mostrato nell'immagine. Qual è la diagnosi più probabile?:",https://compitoinclasse.org/simulatori/IMGmir/2203-dom.jpg,Acalasia,Il grande diverticolo esofageo di Zenker,Spasmo esofageo diffuso,Ritenzione alimentare da parte del tumore sottomucoso (Leiomioma) ostruttivo in un terzo distinato esofageo,,Acalasia,A,A,A,A
Chirurgia digestiva e generale,"Paziente di 78 anni, con una storia di sigmoidectomia da parte di diverticolite 12 anni fa. Consultazione per la distensione addominale, accompagnata da dolore addominale diffuso, nausea e vomito alimentare, con scarsi depositi liquidi. All'esame fisico è afebreno, emodinamicamente stabile, con dolore diffuso alla palpazione dell'addome, che è disteso e digitato senza peritonismo. I rumori di Hydroaéreos sono aumentati. Gli studi analitici, che includono l'emogramma, la biochimica, l'emostasi e la gasometria, sono normali. L'immagine mostra Rx di addome e TAC. Qual è la diagnosi?",https://compitoinclasse.org/simulatori/IMGmir/11-dom.jpg,Pseudoobstructure intestinali.,Occlusione intestinale per flange.,Ischemia intestinale.,Cancro del colon.,,Cancro del colon.,D,D,D,D
Chirurgia digestiva e generale,"Donna di 82 anni che va al pronto soccorso per un dolore addominale situato nel fianco destro, irradiata dietro la parte posteriore e febbre di 37,3 ºC. Viene eseguito l'ecografia addominale che nell'ipocondrio destro mostra i risultati dell'immagine. Qual è la diagnosi più probabile?:",https://compitoinclasse.org/simulatori/IMGmir/2187-dom.jpg,Colecistite acuta,Malattia di Carolli,Tallbladder in porcellana,Colica biliare,,Colecistite acuta,A,A,A,A
Chirurgia digestiva e generale,"Paziente di 40 anni, 25 pacchetto/anno fumatore. 20 Ubes alcol consumatore (unità standard/giorno/giorno) negli ultimi mesi. Diagnosi di infezione da VHC 8 anni fa senza trattamento. Racconta un blocco di dolore addominale di diversi giorni di evoluzione 2 mesi prima che non si consultava e questo è durato circa 1 settimana. Consultare ora il dolore addominale inizialmente nell'epigastrio e successivamente diffondere. Al momento dell'ammissione puoi vedere cattive condizioni generali, edemas alle estremità inferiori e un addome disteso con segni di ascite. Nell'analisi praticata in un campione di sangue, i seguenti dati sono stati apprezzati: creatinina 0,68 mg/dl (0,4-1,2), glucosio 84 mg/dl (75-115), AST 21 IU/L (0 -35), ALT 15 IU/L (0UI/L (0-35), Albumina 21 G/L (35-52), Bilirubin 0,6 mg/dl (03 (03-1.2), emoglobina 10,7 g/dl, piastrine 288.000/mm3, leucociti 8.200/mm3, rapporto temporale di protrombina 1,12 (0,8 (0,8-1, 2). Analisi: glucosio 68 mg/dl, albumina 17 g/l, Bilirubina 0,4 mg/dl, amilasi 3200 U/L e 200 cellule/mm3 (Neutrofili al 70%).",https://compitoinclasse.org/simulatori/IMGmir/246-dom.jpg,Pseudocisti pancreatici con ascite pancreatica.,Neoplasia cistica pancreatica con ascite di carcinomatosi.,Peritonite secondaria perforando il tratto digestivo.,Decompensione ascitica nel paziente con eliveropatia cronica avanzata.,,Pseudocisti pancreatici con ascite pancreatica.,A,D,B,B
Chirurgia digestiva e generale,Quale dei seguenti risultati non si aspetterebbe di trovare nel liquido mostrato nell'immagine?,https://compitoinclasse.org/simulatori/IMGmir/244-dom.jpg,90 mg/dl trigliceridi.,Proteine ​​totali 3 g/dl.,Leucociti> 500/mm3.,"Gradiente di albumina 0,9 g/dl.",,90 mg/dl trigliceridi.,A,A,A,A
Chirurgia digestiva e generale,"Nel paziente precedente, quale dei seguenti trattamenti è indicato?",https://compitoinclasse.org/simulatori/IMGmir/693-dom.jpg,Drenaggio biliare mediante rotta endoscopica retrograda e chemioterapia sistemica.,Duodenopancretomia cefalica con resezione vascolare.,Embolizzazione epatica con sfere cariche di chemioterapia.,Drenaggio biliare transpatico-epatico e chemioterapia sistemica.,Trattamento corticosteroide.,Duodenopancretomia cefalica con resezione vascolare.,B,B,A,A
Chirurgia digestiva e generale,"Maschio 54enne con una storia di asma bronchiale. In un controllo toracico TC, si osservano lesioni epatiche calcificate. Lo studio con un TC addominale è completato in cui vengono identificate 3 lesioni cistiche epatiche. Viene eseguita l'enucleazione delle 3 lesioni, che misurano 8, 3 e 3 cm. Nello studio microscopico, si osservano membrane acellulari. Viene mostrata la macroscopia di una delle lesioni. Qual è la diagnosi più probabile?:",https://compitoinclasse.org/simulatori/IMGmir/2191-dom.jpg,Emangioma complicato,Epatocarcinoma calcificato,Cisti ignificante,Metastasi epatiche necrotiche,,Cisti ignificante,C,C,C,C
Chirurgia digestiva e generale,"Una donna di 68 anni, con diagnosi di ipercolesterolemia nel trattamento della simvastatina, una disfagia intensa e una consultazione di odinofagia. Viene eseguita la gastroscopia (vedi immagine). Quale delle seguenti affermazioni è corretta?",https://compitoinclasse.org/simulatori/IMGmir/1393-dom.jpg,L'infezione da Citomegalovirus è la causa più frequente di queste lesioni nelle persone immunocompetenti.,La presenza di cellule giganti e corpi di inclusione eosinofila nello studio istopatologico delle biopsie confermerebbero l'eziologia candidata.,"L'eziologia più probabile è farmacologica, dato il suo attuale trattamento con simvastatina.","Sebbene non ci siano dati sull'immunosoppressione, l'eziologia erpetica non può essere esclusa.",,"Sebbene non ci siano dati sull'immunosoppressione, l'eziologia erpetica non può essere esclusa.",D,D,D,D
