Category,Question,Image url,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Correct Answer,Correct Letter,Claude-3.5-Sonnet,GPT-4o,Gemini-2.0-Flash
Medicina Preventiva,"La siguiente figura describe la función de supervivencia de la variable progresión libre de enfermedad (Progression-free Survival, PFS) mediante el método de KaplanMeier de dos grupos de pacientes. Grupo A: pacientes tratados con el mejor tratamiento de soporte (Best Suportive Care, BSC). Grupo B: pacientes que además de BSC reciben Panitumumab. Datos complementarios a la figura: pacientes con progresión de enfermedad: Grupo A=184/232 (79%), Grupo B=161/231 (70%). Porcentaje de censuras: Grupo A=24/232 (10%), Grupo B=38/231(16%). Prueba de log-rank p<0.0001. Hazard Ratio 95% C1: 0.54 [0.44-0.66]. Cuál de las siguientes afirmaciones es correcta:",https://compitoinclasse.org/simulatori/IMGmir/724-dom.jpg,La ganancia en términos de mediana de tiempo hasta la progresión en el Grupo B. no llega a superar dos semanas en relación al Grupo A.,Para interpretar los resultados de estas dos curvas de supervivencia es necesario y suficiente la evaluación y contraste de los porcentajes de progresióa es decir 79% en el Grupo A versus 70% en el Grupo B.,El ratio de las medianas en el tiempo hasta progresión de los dos grupos de tratamiento es 0.54.,La prueba de log-rank evalúa la diferencia promedio en el tiempo de seguimiento.,"Los resultados de la prueba de log-rank y la estimación del Hazard Ratio (intervalo de confianza al 95%, IC95%) no son compatibles puesto que el primero indica que las diferencias son significativas mientras que el segundo que no lo son.",La ganancia en términos de mediana de tiempo hasta la progresión en el Grupo B. no llega a superar dos semanas en relación al Grupo A.,A,A,A,A
Medicina Preventiva,Señale a qué corresponde la imagen:,https://compitoinclasse.org/simulatori/IMGmir/18-dom.jpg,Es un gráfico para evaluar el sesgo de publicación.,Es un gráfico para cuantificar la curtosis de una distribución normal.,Es un gráfico para cuantificar el error tipo I.,Es un gráfico para evaluar bioequivalencia.,,Es un gráfico para evaluar el sesgo de publicación.,A,A,A,A
Medicina Preventiva,"De acuerdo a los resultados del ensayo clínico incluidos en la imagen vinculada a la pregunta, ¿cuál de las siguientes conclusiones es cierta?",https://compitoinclasse.org/simulatori/IMGmir/1173-dom.jpg,"Mirgliptin reduce significativamente la tasa anual de eventos cardiovasculares en comparación con metformina, con una hazard ratio por debajo de 1 y una p significativa de 0.01.",El estudio no es concluyente porque el límite inferior del intervalo de confianza al 95% del hazard ratio no puede descartar que la diferencia a favor de mirgliptin sea menor del 30% en términos relativos.,Se demuestra la no inferioridad de mirgliptin porque el valor de p de superioridad no es significativo.,Mirgliptin es no inferior a metformina de acuerdo a las condiciones prefijadas en el protocolo del estudio.,,Mirgliptin es no inferior a metformina de acuerdo a las condiciones prefijadas en el protocolo del estudio.,D,D,D,D
Medicina Preventiva,"Un ensayo clínico, publicado en New England Journal of Medicine, estudió el efecto de administrar un tratamiento anticoagulante ""puente"" subcutáneo con heparina de bajo peso molecular respecto de un placebo en pacientes con tratamiento anticoagulante crónico que estaban programados para una intervención quirúrgica, a los que se interrumpió el anticoagulante oral desde unos días antes de la cirugía hasta las 24 horas postoperatorias. Tanto la heparina como el placebo se administraron por vía subcutánea desde 3 días antes y hasta 24 horas antes de la intervención, y posteriorriormente, desde los días 5 a 10 postoperatorios. El análisis principal fue para contrastar si el tratamiento con placebo (No bridging) era no inferior a la heparina (Bridging), considerando un margen de no inferioridad del 1% para la diferencia en la aparición de tromboembolismo arterial. Considerando los datos de la tabla adjunta, ¿Cuál de las siguientes afirmaciones es INCORRECTA?",https://compitoinclasse.org/simulatori/IMGmir/261-dom.jpg,Se observó una frecuencia significativamente menor de tromboembolismo arterial en el grupo que recibió tratamiento anticoagulante puente.,No se observaron diferencias significativas en la mortalidad entre los dos grupos.,La administración de tratamiento puente con heparina de bajo peso molecular se asoció a una mayor frecuencia de sangrados mayores y menores.,"Se pudo concluir que el tratamiento con placebo no es inferior en cuanto a la frecuencia de tromboembolismo arterial que la utilización puente de heparinas de bajo peso molecular, descartando diferencias superiores a un 1%.",,Se observó una frecuencia significativamente menor de tromboembolismo arterial en el grupo que recibió tratamiento anticoagulante puente.,A,A,A,A
Digestivo y Cirugía General,"Varón de 75 años con dolor abdominal intermitente, dispepsia y pérdida de peso. Se realiza TC abdominal con contraste de la que se muestra una imagen. Además de la observación casual de un quiste renal izquierdo ¿cuál de los siguientes hallazgo se encuentra?:",https://compitoinclasse.org/simulatori/IMGmir/2201-dom.jpg,Tumoración en cola pancreática con calcificaciones e invasión tumoral de arteria esplénica,"Calcificaciones pancreáticas difusas en cuerpo y cola pancreática, indicativas de pancreatitis aguda.",Tumoración en cabeza pancreática con calcificaciones e invasión tumoral de arteria esplénica,"Calcificaciones pancreáticas difusas en cuerpo y cola pancreática, indicativas de pancreatitis crónica",,"Calcificaciones pancreáticas difusas en cuerpo y cola pancreática, indicativas de pancreatitis crónica",D,B,B,B
Digestivo y Cirugía General,"Paciente de 54 años que acude a realizarse una ecografía abdominal como control de una enfermedad de Crohn. Nunca ha presentado cólicos biliares y no tiene otra comorbilidad relevante. En la imagen se muestran los hallazgos de la ecografía (izquierda modo B y derecha con contraste IV). De las siguientes, señale la afirmación correcta:",https://compitoinclasse.org/simulatori/IMGmir/2403-dom.jpg,A pesar de que nunca ha tenido síntomas de origen biliar está indicada la colecistectomía como prevención del cáncer de vesícula biliar.,Dado que está asintomático y no tiene riesgo aumentado de cáncer de vesícula biliar no se recomienda la colecistectomía y no es preciso seguimiento por este motivo.,La imagen no es suficientemente concluyente como para tomar una decisión terapéutica. Sería necesario ampliar el estudio con RM y/o PET/TC.,"No está indicada la colecistectomía por estar asintomático, pero sí el seguimiento periódico.",,A pesar de que nunca ha tenido síntomas de origen biliar está indicada la colecistectomía como prevención del cáncer de vesícula biliar.,A,A,A,A
Digestivo y Cirugía General,En el caso anteriormente descrito y respecto al tratamiento farmacológico cuál es la afirmación correcta.,https://compitoinclasse.org/simulatori/IMGmir/467-dom.jpg,No es preciso el tratamiento farmacológico ya que se ha identificado la lesión sangrante.,El tratamiento ideal para este paciente es la perfusión de somatostatina ya que se trata de un paciente hepatópata.,La utilización de omeprazol a altas dosis reduce la recidiva de sangrado.,La ranitidina es el fármaco de elección para evitar la toxicidad farmacológica al tratarse de un paciente con hepatopatía crónica.,La erradicación del Helicobacter pylori es la primera medida a tomar.,La utilización de omeprazol a altas dosis reduce la recidiva de sangrado.,C,B,C,C
Digestivo y Cirugía General,"Hombre de 72 años con diagnóstico de carcinoma de cavidad oral intervenido hace tres meses con resección completa, en tratamiento con quimioterapia, portador de gastrostomía endoscópica percutánea profiláctica, que acude a urgencias por dolor y distensión abdominal de tres días de evolución, intolerancia oral y ausencia de deposiciones. Se realiza la TC abdominopélvica con contraste intravenoso que se muestra en la imagen. ¿Cuál de los siguientes es el diagnóstico más probable?:",https://compitoinclasse.org/simulatori/IMGmir/1989-dom.jpg,Obstrucción gástrica por neoplasia antropiló- rica,Gastritis enfisematosa,Gastroparesia diabética,Úlcera péptica con signos de perforación contenida,,Obstrucción gástrica por neoplasia antropiló- rica,A,A,A,A
Digestivo y Cirugía General,"Mujer de 65 años que consulta por dolor cólico intermitente en fosa iliaca izquierda, alternancia en diarrea/estreñimiento y distensión abdominal con flatulencia de 6 meses de evolución. Se le realiza una colonoscopia, con el siguiente hallazgo en sigma. ¿Cuál es la actitud más apropiada en la consulta?",https://compitoinclasse.org/simulatori/IMGmir/1392-dom.jpg,Realizar un estudio de estadificación previamente a indicar la resección quirúrgica.,Recomendar una colonoscopia en 3 años y continuaría el estudio etiológico de sus síntomas.,Recomendar una dieta rica en fibra soluble y varios ciclos mensuales de rifaximina.,Comenzar tratamiento con corticoides si la diarrea es grave.,,Recomendar una dieta rica en fibra soluble y varios ciclos mensuales de rifaximina.,C,B,C,C
Digestivo y Cirugía General,"Varón de 47 años sin antecedentes de interés que acude a urgencias por fiebre de hasta 39ºC con escalofríos y sudoración, de una semana de evolución, acompañada de dolor epigástrico y malestar general. Se realiza TC abdominopélvica con contraste endovenoso que se muestra en la imagen. ¿Cuál de los siguientes diagnósticos es más probable?:",https://compitoinclasse.org/simulatori/IMGmir/1988-dom.jpg,Absceso hepático,Hemangioma hepático,Hepatocarcinoma,Hiperplasia nodular focal con necrosis en su interior,,Absceso hepático,A,D,D,D
